GDPC1,GDPC1_diff,GDPC1_sma_3,GDPC1_sma_5,GDPC1_ewm,CPIAUCSL,CPIAUCSL_diff,CPIAUCSL_sma_3,CPIAUCSL_sma_5,CPIAUCSL_ewm,UNRATE,UNRATE_diff,UNRATE_sma_3,UNRATE_sma_5,UNRATE_ewm,PAYEMS,PAYEMS_diff,PAYEMS_sma_3,PAYEMS_sma_5,PAYEMS_ewm,RRSFS,RRSFS_diff,RRSFS_sma_3,RRSFS_sma_5,RRSFS_ewm,GFDEBTN,GFDEBTN_diff,GFDEBTN_sma_3,GFDEBTN_sma_5,GFDEBTN_ewm,VIXCLS,VIXCLS_diff,VIXCLS_sma_3,VIXCLS_sma_5,VIXCLS_ewm,prob_topic_1,prob_topic_2,prob_topic_3,prob_topic_4,prob_topic_5,prob_topic_6,sentiments,target
15582.085,0.19023094637437107,15552.499333333331,15526.404133333333,15359.980826110697,205.904,0.3000662483924951,205.13933333333333,204.391,201.24633481968812,4.5,2.2727272727272645,4.466666666666666,4.48,4.669882860714871,137842.0,0.035560587257698145,137731.0,137583.8,136385.2988722841,177844.0,-0.5624825272574783,178310.33333333334,178551.2,177900.89009973416,8867677.0,0.06775244358486258,8861673.0,8845573.733333332,8536293.713017397,14.22,-2.868852459016393,14.76,13.252,12.62430353556658,2.896819921716088e-07,0.0527519397437572,0.0034586489200592,0.1343352049589157,0.0027026839088648,0.8067512512207031,0.0,0
15610.302666666666,0.18109044243223776,15581.629,15552.225733333331,15372.191647601232,206.755,0.41329940166291046,205.98233333333334,205.122,201.51505019433748,4.4,-2.2222222222222143,4.433333333333334,4.4799999999999995,4.656717843119024,137993.0,0.10954571175693911,137876.0,137732.6,136463.72331753853,179408.0,0.8794224151503565,178700.66666666666,178615.0,177974.4076558447,8914335.666666666,0.5261656087232998,8881228.555555554,8869803.933333334,8554734.783927117,13.05,-8.227848101265822,13.97,13.55,12.645069216758454,2.096242752713806e-07,0.0069604134187102,0.0030133561231195,0.0059956805780529,0.0003727093862835,0.9836576581001282,0.0,0
15638.520333333332,0.18076309773877672,15610.302666666665,15581.2642,15385.183290807674,207.234,0.23167517109623148,206.631,205.88139999999999,201.7940233555893,4.6,4.545454545454529,4.5,4.48,4.653951119064438,138069.0,0.05507525744059481,137968.0,137851.0,136542.0294971708,177651.0,-0.9793320253277445,178301.0,178398.0,177958.63167263276,8960994.333333334,0.5234115969083197,8914335.666666666,8892069.8,8574552.322922543,16.23,24.36781609195402,14.5,14.712,12.819943889111698,1.1736615306290332e-06,0.0023089635651558,1.1736615306290332e-06,0.985008418560028,1.1736615306290332e-06,0.0126791335642337,0.1,1
15666.738,0.18043693434679822,15638.520333333334,15610.029066666666,15398.917666865835,207.603,0.17805958481716308,207.19733333333332,206.5568,202.07738806995079,4.7,2.1739130434782727,4.566666666666667,4.5200000000000005,4.656197405939343,138038.0,-0.02245254184501952,138033.33333333334,137947.0,136615.0036680405,178039.0,0.21840575060089726,178366.0,178358.4,177962.5520788458,9007653.0,0.520686264615791,8960994.333333334,8922466.6,8595679.185219005,23.52,44.91682070240295,17.599999999999998,16.332,13.341897845740395,4.671584008519858e-07,0.2421938478946685,0.0373621061444282,0.0014878381043672,0.0168538372963666,0.7021019458770752,-0.1,-1
15698.481,0.20261397107681506,15667.913111111111,15639.2254,15413.530512384574,207.667,0.030828070885292092,207.50133333333335,207.0326,202.35005206653852,4.6,-2.1276595744680966,4.633333333333334,4.56,4.653456069064253,138015.0,-0.01666207855807821,138040.66666666666,137991.4,136683.2961720385,178824.0,0.4409146310639804,178171.33333333334,178353.2,178004.57392865818,9081492.666666666,0.8197436853602824,9016713.333333334,8966430.533333333,8619377.403826207,23.38,-0.5952380952380977,21.043333333333333,18.080000000000002,13.831561365460376,2.0670746891937602e-07,0.8642460107803345,0.0293091498315334,0.0473577678203582,0.0085173156112432,0.0505695268511772,0.0,-1
15730.224,0.20220427696157603,15698.481,15668.853200000001,15428.978975195081,208.547,0.4237553390765001,207.939,207.5612,202.6523422096342,4.7,2.1739130434782727,4.666666666666667,4.6,4.655726504719656,138095.0,0.05796471398036446,138049.33333333334,138042.0,136752.15977340247,178794.0,-0.01677627164139042,178552.33333333334,178543.2,178043.0825175041,9155332.333333334,0.8130785254905737,9081492.666666666,9023961.6,8645521.546728993,18.0,-23.011120615911032,21.633333333333336,18.836000000000002,14.034899835437919,5.337084303391748e-07,0.0064134271815419,5.337084303391748e-07,0.9926791191101074,5.337084303391748e-07,0.0009058527066372,0.4,-1
15761.967,0.20179623634094718,15730.224,15699.186066666665,15445.222293478248,209.19,0.3083237831280243,208.468,208.0482,202.97125234574963,4.7,0.0,4.666666666666667,4.66,4.657886187416258,138174.0,0.05720699518447445,138094.66666666666,138078.2,136821.5178332365,179401.0,0.33949685112475814,179006.33333333334,178541.8,178109.322394699,9229172.0,0.8065208774325509,9155332.333333334,9086928.866666667,8673992.300547091,18.53,2.944444444444451,19.970000000000002,19.932,14.254173014197045,2.4497362005604373e-07,0.3132658898830414,0.0352013073861599,0.0829629302024841,0.426462322473526,0.1421072781085968,-0.2,1
15731.772333333334,-0.19156661517351423,15741.32111111111,15717.836466666666,15459.200344202885,210.834,0.7858884267890461,209.52366666666668,208.76820000000004,203.3548010118106,4.7,0.0,4.7,4.68,4.659940519737416,138284.0,0.07960976739473417,138184.33333333334,138121.2,136892.85842673713,179696.0,0.16443609567393716,179297.0,178950.8,178186.72130227464,9298646.0,0.7527652534810273,9227716.777777778,9154459.2,8704463.212715525,22.87,23.421478683216403,19.8,21.259999999999998,14.674457257406944,3.819924927483953e-07,0.7202945351600647,0.0153071517124772,0.0071910987608134,0.0755222737789154,0.1816845536231994,-0.1,1
15701.577666666666,-0.19193429721004815,15731.772333333332,15724.804399999999,15471.023628225508,211.445,0.28980145517325956,210.48966666666664,209.5366,203.74944486489298,5.0,6.382978723404251,4.800000000000001,4.74,4.676528787067299,138392.0,0.07810014173729427,138283.33333333334,138192.0,136965.98728396944,177019.0,-1.4897382245570296,178705.33333333334,178746.8,178129.75928752954,9368120.0,0.7471410353722466,9298646.0,9226552.6,8736836.714534279,22.5,-1.6178399650196806,21.3,21.056,15.056191049728556,2.384774688835023e-07,0.4460217356681824,0.0566379949450492,0.0035142791457474,0.3972204029560089,0.0966053232550621,0.1,-1
15671.383,-0.19230339337662508,15701.577666666666,15719.3848,15480.797256116946,212.174,0.3447705076970434,211.48433333333332,210.43800000000002,204.1603987739226,5.0,0.0,4.8999999999999995,4.82,4.692307870624991,138403.0,0.007948436325799179,138359.66666666666,138269.6,137036.08546523922,176853.0,-0.09377524446528339,177856.0,178352.6,178067.47834667444,9437594.0,0.7416002356929672,9368120.0,9297772.866666667,8771019.996752119,26.2,16.444444444444443,23.856666666666666,21.62,15.599791486327161,7.176790859375615e-07,0.055584080517292,7.176790859375615e-07,0.9349331259727478,0.0012426885077729,0.0082386322319507,-0.2,1
