GDPC1,CPIAUCSL,UNRATE,PAYEMS,RRSFS,GFDEBTN,VIXCLS,prob_topic_1,prob_topic_2,prob_topic_3,prob_topic_4,prob_topic_5,prob_topic_6,sentiments,target
15823.630666666666,224.806,9.0,131703.0,169160.0,14492171.333333334,15.45,2.021804448304465e-07,0.045026060193777,0.277601957321167,0.121427983045578,0.0269035045057535,0.5290402770042419,0.0,1
15822.165333333334,224.806,9.1,131939.0,170457.0,14641255.666666666,16.52,1.3408218819677131e-06,1.3408218819677131e-06,1.3408218819677131e-06,0.9994950890541076,1.3408218819677131e-06,0.0004995357012376,0.1,-1
15820.7,225.395,9.0,131999.0,169831.0,14790340.0,25.25,3.654399733932223e-07,0.0402004308998584,0.4784235656261444,0.0021037543192505,0.0540018267929554,0.4252701103687286,-0.2,1
15881.835666666668,226.106,9.0,132125.0,169808.0,14934540.0,31.62,2.0365531838706374e-07,0.0253538433462381,0.4235312938690185,0.0024804947897791,0.0044227610342204,0.5442114472389221,0.0,-1
15942.971333333331,226.597,9.0,132358.0,171101.0,15078740.0,42.96,1.161539216809615e-06,0.0125067261978983,0.0395858883857727,0.8240999579429626,0.009479041211307,0.1143271774053573,0.2,-1
16004.107,226.75,8.8,132562.0,171961.0,15222940.0,29.96,2.15714408113854e-07,0.0143356993794441,0.4757106304168701,0.0381638668477535,0.0072336676530539,0.4645559191703796,0.0,1
16045.877333333334,227.169,8.6,132694.0,172378.0,15350799.333333334,27.8,3.116910249900684e-07,0.0053057633340358,0.3957091271877289,0.0171743854880332,0.0042606871575117,0.5775497555732727,0.0,1
16087.647666666666,227.223,8.5,132896.0,172446.0,15478658.666666666,23.4,1.9734264355975029e-07,0.024960208684206,0.528696596622467,0.0302704069763422,0.0062056607566773,0.4098669588565826,0.0,-1
16129.418,227.842,8.3,133250.0,173531.0,15606518.0,19.44,1.819372869249492e-06,0.0082060741260647,1.819372869249492e-06,0.9713749289512634,1.819372869249492e-06,0.0204135775566101,-0.4,1
16152.547666666667,228.329,8.3,133512.0,175286.0,15689357.666666666,18.43,2.436343891076831e-07,0.0079098772257566,0.4889910221099853,0.0291910450905561,0.0040053380653262,0.4699024856090545,0.0,0
16175.677333333331,228.807,8.2,133752.0,175608.0,15772197.333333334,15.5,2.546296400396386e-07,0.0257511176168918,0.6564247012138367,0.0209395438432693,0.0110155455768108,0.2858688533306122,-0.1,-1
16198.807,229.187,8.2,133834.0,174493.0,15855037.0,17.15,1.493037530053698e-06,4.323762368585449e-06,1.493037530053698e-06,0.9998863339424132,1.493037530053698e-06,0.0001048692793119,-0.3,1
16206.093666666668,228.713,8.2,133934.0,174613.0,15925438.0,24.06,2.211673404417525e-07,0.0184515379369258,0.4265309274196625,0.040273793041706,0.0049467198550701,0.5097967982292175,0.1,0
16213.380333333333,228.524,8.2,134007.0,173347.0,15995839.0,17.08,2.531694690333097e-06,2.531694690333097e-06,0.0051701050251722,0.9633929133415222,2.531694690333097e-06,0.0314293652772903,-0.2,-1
